#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-195.0,691,3494.058123
-177.0,687,3496.237157
-164.0,846,3500.32264
-170.0,741,3502.758104
-176.0,687,3504.948387
-178.0,688,3508.357129
-179.0,676,3510.502204
-191.0,541,3512.124534
-191.0,541,3514.953798
-179.0,676,3517.101873
-169.0,698,3519.330552
-176.0,687,3522.735672
-174.0,699,3524.967969
-176.0,688,3527.164265
-170.0,698,3530.751413
-176.0,687,3533.13589
-190.0,690,3535.35491
-172.0,698,3538.802487
-197.0,704,3541.067186
-179.0,676,3543.221194
-180.0,676,3546.572721
-201.0,693,3548.781821
-169.0,741,3551.192149
-185.0,689,3554.60316
-177.0,687,3574.849297
-180.0,688,3578.755842
